Week of notification,Year of notification,,,
,2020,2021,2022,2023
1,0,174.83,405.99,156.15
2,,142.89,583.94,106.75
3,,114.8,956.73,75.03
4,0,93.91,"1,338.64",48.45
5,0.01,77.6,"1,553.00",
6,0.01,61.07,"1,573.61",
7,0,62.87,"1,433.59",
8,0,67.7,"1,313.05",
9,0.17,70.18,"1,362.12",
10,1.09,85.76,"1,698.26",
11,7.74,111.25,"1,901.08",
12,26.94,139.73,"1,908.83",
13,40.85,132.17,"1,555.99",
14,43.37,141.99,"1,183.28",
15,32.64,170.61,936.64,
16,20.86,173.82,879.98,
17,14.86,149.8,717.61,
18,8.95,121.16,566.59,
19,7.51,85.01,491.21,
20,5.74,63.29,351.65,
21,4.34,35.88,224.86,
22,3.86,24.85,294.38,
23,2.83,16.9,397.86,
24,2.82,8.75,496.63,
25,5.04,5.84,690.04,
26,3.81,5.27,748.14,
27,3.23,6.72,755.77,
28,2.92,10.95,811.32,
29,3.66,15.19,753.63,
30,4.73,18.65,595.67,
31,5.82,24.53,436.11,
32,7.3,38.54,358.34,
33,9.57,59.65,316.4,
34,11.54,79.73,273.83,
35,10.62,89.79,242.38,
36,10.36,86.09,245.19,
37,11.74,73.86,275,
38,14.79,64.42,344.14,
39,15.72,67.85,551.19,
40,19.18,69.71,713.59,
41,31.43,78.52,775.05,
42,50.54,117.39,653.4,
43,89.93,164.61,449.32,
44,133.47,213.7,292.64,
45,151.18,325.79,242.68,
46,153.76,422.49,203.82,
47,154.4,484.6,204.89,
48,148.11,466.23,221.89,
49,154.26,406.13,239.53,
50,187.86,328.63,267.72,
51,209.95,232.89,277.15,
52,166.94,250.74,182,
53,147.86,,,